UUID,USERNAME,PASSWORD,FULL_NAME,USER_TYPE,IDENTIFIER,BIRTH_YEAR,GENDER,ENROLLED_IN,ASSIGNED_TO
e2515318f05c432f89458e2bbb74fe4d,alumno1,alumno1,alumno1,LEARNER,alumno1,,NOT_SPECIFIED,"ARTE CCCCCC - LINCE - MA?ANA - 1ero - A,CIENCIA, TECNOLOG?A Y AMBIENTE - LINCE - MA?ANA - 1ero - A,MATEM?TICA - LINCE - MA?ANA - 1ero - A,COMUNICACI?N XXXXXX - LINCE - MA?ANA - 1ero - A",
908718bb88ac430999381cdf39b21bab,alumno10,alumno10,alumno10,LEARNER,alumno10,,NOT_SPECIFIED,"ARTE - LINCE - MA?ANA - 1ero - C,CIENCIA, TECNOLOG?A Y AMBIENTE - LINCE - MA?ANA - 1ero - C,MATEM?TICA - LINCE - MA?ANA - 1ero - C,COMUNICACI?N - LINCE - MA?ANA - 1ero - C",
19edca6b5f404699a6b0b011c1ff8a99,alumno11,alumno11,alumno11,LEARNER,alumno11,,NOT_SPECIFIED,"ARTE - LINCE - MA?ANA - 1ero - C,CIENCIA, TECNOLOG?A Y AMBIENTE - LINCE - MA?ANA - 1ero - C,MATEM?TICA - LINCE - MA?ANA - 1ero - C,COMUNICACI?N - LINCE - MA?ANA - 1ero - C",
0b2e315e40b54c4e8408ee5d1eb17853,alumno12,alumno12,alumno12,LEARNER,alumno12,,NOT_SPECIFIED,"ARTE - LINCE - MA?ANA - 1ero - C,CIENCIA, TECNOLOG?A Y AMBIENTE - LINCE - MA?ANA - 1ero - C,MATEM?TICA - LINCE - MA?ANA - 1ero - C,COMUNICACI?N - LINCE - MA?ANA - 1ero - C",
ef03f2aea6a4447484261601f019fd02,alumno13,alumno13,alumno13,LEARNER,alumno13,,NOT_SPECIFIED,COURSE 3 - MIRAFLORES - MA?ANA - 2do - A,
76de331bcd714a1ab9242e8fa6bfb8e0,alumno14,alumno14,alumno14,LEARNER,alumno14,,NOT_SPECIFIED,COURSE 3 - MIRAFLORES - MA?ANA - 2do - A,
6c7b62b7c4d44c4b82b81ee2b74b747a,alumno15,alumno15,alumno15,LEARNER,alumno15,,NOT_SPECIFIED,COURSE 3 - MIRAFLORES - MA?ANA - 2do - A,
d3e736d534d74cd487b8e1837cb64896,alumno16,alumno16,alumno16,LEARNER,alumno16,,NOT_SPECIFIED,COURSE 3 - MIRAFLORES - MA?ANA - 2do - B,
aeda1ec1be13466d8b7c7cb5eaa70052,alumno17,alumno17,alumno17,LEARNER,alumno17,,NOT_SPECIFIED,COURSE 3 - MIRAFLORES - MA?ANA - 2do - B,
eb7a72199dec4d3f89c82bdbd4f72594,alumno18,alumno18,alumno18,LEARNER,alumno18,,NOT_SPECIFIED,COURSE 3 - MIRAFLORES - MA?ANA - 2do - B,
