UUID,USERNAME,PASSWORD,FULL_NAME,USER_TYPE,IDENTIFIER,BIRTH_YEAR,GENDER,ENROLLED_IN,ASSIGNED_TO
ad89bc47cb9c49c38f4617cf48fd4cb4,alumno19,alumno19,alumno19,LEARNER,alumno19,,NOT_SPECIFIED,COURSE 6 - MIRAFLORES - TARDE - 2do - A,
61eabad7f4c44c46a7a4d71cb2ffc2bc,alumno2,alumno2,alumno2,LEARNER,alumno2,,NOT_SPECIFIED,"ARTE CCCCCC - LINCE - MA?ANA - 1ero - A,CIENCIA, TECNOLOG?A Y AMBIENTE - LINCE - MA?ANA - 1ero - A,MATEM?TICA - LINCE - MA?ANA - 1ero - A,COMUNICACI?N XXXXXX - LINCE - MA?ANA - 1ero - A",
cc3127bb16bb4b3aab782cc5d1f4d55e,alumno20,alumno20,alumno20,LEARNER,alumno20,,NOT_SPECIFIED,COURSE 6 - MIRAFLORES - TARDE - 2do - A,
36ebdf453a0242c89b623db26ce0fe39,alumno21,alumno21,alumno21,LEARNER,alumno21,,NOT_SPECIFIED,COURSE 6 - MIRAFLORES - TARDE - 2do - A,
d1a4d4ac498d4245a06b3f2e10bb4d33,alumno22,alumno22,alumno22,LEARNER,alumno22,,NOT_SPECIFIED,COURSE 6 - MIRAFLORES - TARDE - 2do - B,
b2635cf0520a461aa0ea153bfc640e4f,alumno23,alumno23,alumno23,LEARNER,alumno23,,NOT_SPECIFIED,COURSE 6 - MIRAFLORES - TARDE - 2do - B,
c2cc1f96cb064dfd9f84fa3dd2e1e38c,alumno24,alumno24,alumno24,LEARNER,alumno24,,NOT_SPECIFIED,COURSE 6 - MIRAFLORES - TARDE - 2do - B,
e98a4fe83e5342d997e04687b66f380e,alumno3,alumno3,alumno3,LEARNER,alumno3,,NOT_SPECIFIED,"ARTE CCCCCC - LINCE - MA?ANA - 1ero - A,CIENCIA, TECNOLOG?A Y AMBIENTE - LINCE - MA?ANA - 1ero - A,MATEM?TICA - LINCE - MA?ANA - 1ero - A,COMUNICACI?N XXXXXX - LINCE - MA?ANA - 1ero - A",
979f29852e274f09bcf6762030640c7c,alumno4,alumno4,alumno4,LEARNER,alumno4,,NOT_SPECIFIED,"ARTE CCCCCC - LINCE - MA?ANA - 1ero - A,CIENCIA, TECNOLOG?A Y AMBIENTE - LINCE - MA?ANA - 1ero - A,MATEM?TICA - LINCE - MA?ANA - 1ero - A,COMUNICACI?N XXXXXX - LINCE - MA?ANA - 1ero - A",
a31a3413b0684326898a88dd281823d2,alumno5,alumno5,alumno5,LEARNER,alumno5,,NOT_SPECIFIED,"ARTE - LINCE - MA?ANA - 1ero - B,CIENCIA, TECNOLOG?A Y AMBIENTE - LINCE - MA?ANA - 1ero - B,MATEM?TICA - LINCE - MA?ANA - 1ero - B,COMUNICACI?N - LINCE - MA?ANA - 1ero - B",
