UUID,USERNAME,PASSWORD,FULL_NAME,USER_TYPE,IDENTIFIER,BIRTH_YEAR,GENDER,ENROLLED_IN,ASSIGNED_TO
,alumno19,alumno19,alumno19,LEARNER,alumno19,,NOT_SPECIFIED,COURSE 6 - MIRAFLORES - TARDE - 2do - A,
,alumno2,alumno2,alumno2,LEARNER,alumno2,,NOT_SPECIFIED,"ARTE CCCCCC - LINCE - MA?ANA - 1ero - A,CIENCIA, TECNOLOG?A Y AMBIENTE - LINCE - MA?ANA - 1ero - A,MATEM?TICA - LINCE - MA?ANA - 1ero - A,COMUNICACI?N XXXXXX - LINCE - MA?ANA - 1ero - A",
,alumno20,alumno20,alumno20,LEARNER,alumno20,,NOT_SPECIFIED,COURSE 6 - MIRAFLORES - TARDE - 2do - A,
,alumno21,alumno21,alumno21,LEARNER,alumno21,,NOT_SPECIFIED,COURSE 6 - MIRAFLORES - TARDE - 2do - A,
,alumno22,alumno22,alumno22,LEARNER,alumno22,,NOT_SPECIFIED,COURSE 6 - MIRAFLORES - TARDE - 2do - B,
,alumno23,alumno23,alumno23,LEARNER,alumno23,,NOT_SPECIFIED,COURSE 6 - MIRAFLORES - TARDE - 2do - B,
,alumno24,alumno24,alumno24,LEARNER,alumno24,,NOT_SPECIFIED,COURSE 6 - MIRAFLORES - TARDE - 2do - B,
,alumno3,alumno3,alumno3,LEARNER,alumno3,,NOT_SPECIFIED,"ARTE CCCCCC - LINCE - MA?ANA - 1ero - A,CIENCIA, TECNOLOG?A Y AMBIENTE - LINCE - MA?ANA - 1ero - A,MATEM?TICA - LINCE - MA?ANA - 1ero - A,COMUNICACI?N XXXXXX - LINCE - MA?ANA - 1ero - A",
,alumno4,alumno4,alumno4,LEARNER,alumno4,,NOT_SPECIFIED,"ARTE CCCCCC - LINCE - MA?ANA - 1ero - A,CIENCIA, TECNOLOG?A Y AMBIENTE - LINCE - MA?ANA - 1ero - A,MATEM?TICA - LINCE - MA?ANA - 1ero - A,COMUNICACI?N XXXXXX - LINCE - MA?ANA - 1ero - A",
,alumno5,alumno5,alumno5,LEARNER,alumno5,,NOT_SPECIFIED,"ARTE - LINCE - MA?ANA - 1ero - B,CIENCIA, TECNOLOG?A Y AMBIENTE - LINCE - MA?ANA - 1ero - B,MATEM?TICA - LINCE - MA?ANA - 1ero - B,COMUNICACI?N - LINCE - MA?ANA - 1ero - B",
