UUID,USERNAME,PASSWORD,FULL_NAME,USER_TYPE,IDENTIFIER,BIRTH_YEAR,GENDER,ENROLLED_IN,ASSIGNED_TO
,alumno1,alumno1,alumno1,LEARNER,alumno1,,NOT_SPECIFIED,"ARTE CCCCCC - LINCE - MA?ANA - 1ero - A,CIENCIA, TECNOLOG?A Y AMBIENTE - LINCE - MA?ANA - 1ero - A,MATEM?TICA - LINCE - MA?ANA - 1ero - A,COMUNICACI?N XXXXXX - LINCE - MA?ANA - 1ero - A",
,alumno10,alumno10,alumno10,LEARNER,alumno10,,NOT_SPECIFIED,"ARTE - LINCE - MA?ANA - 1ero - C,CIENCIA, TECNOLOG?A Y AMBIENTE - LINCE - MA?ANA - 1ero - C,MATEM?TICA - LINCE - MA?ANA - 1ero - C,COMUNICACI?N - LINCE - MA?ANA - 1ero - C",
,alumno11,alumno11,alumno11,LEARNER,alumno11,,NOT_SPECIFIED,"ARTE - LINCE - MA?ANA - 1ero - C,CIENCIA, TECNOLOG?A Y AMBIENTE - LINCE - MA?ANA - 1ero - C,MATEM?TICA - LINCE - MA?ANA - 1ero - C,COMUNICACI?N - LINCE - MA?ANA - 1ero - C",
,alumno12,alumno12,alumno12,LEARNER,alumno12,,NOT_SPECIFIED,"ARTE - LINCE - MA?ANA - 1ero - C,CIENCIA, TECNOLOG?A Y AMBIENTE - LINCE - MA?ANA - 1ero - C,MATEM?TICA - LINCE - MA?ANA - 1ero - C,COMUNICACI?N - LINCE - MA?ANA - 1ero - C",
,alumno13,alumno13,alumno13,LEARNER,alumno13,,NOT_SPECIFIED,COURSE 3 - MIRAFLORES - MA?ANA - 2do - A,
,alumno14,alumno14,alumno14,LEARNER,alumno14,,NOT_SPECIFIED,COURSE 3 - MIRAFLORES - MA?ANA - 2do - A,
,alumno15,alumno15,alumno15,LEARNER,alumno15,,NOT_SPECIFIED,COURSE 3 - MIRAFLORES - MA?ANA - 2do - A,
,alumno16,alumno16,alumno16,LEARNER,alumno16,,NOT_SPECIFIED,COURSE 3 - MIRAFLORES - MA?ANA - 2do - B,
,alumno17,alumno17,alumno17,LEARNER,alumno17,,NOT_SPECIFIED,COURSE 3 - MIRAFLORES - MA?ANA - 2do - B,
,alumno18,alumno18,alumno18,LEARNER,alumno18,,NOT_SPECIFIED,COURSE 3 - MIRAFLORES - MA?ANA - 2do - B,
