UUID,USERNAME,PASSWORD,FULL_NAME,USER_TYPE,IDENTIFIER,BIRTH_YEAR,GENDER,ENROLLED_IN,ASSIGNED_TO
0474cdb778ef1851a9e32f255a2d1606,alumno19,alumno19,alumno19,LEARNER,alumno19,,NOT_SPECIFIED,COURSE 6 - MIRAFLORES - TARDE - 2do - A,
702a73dc25418abd96455416ffcb1c2c,alumno2,alumno2,alumno2,LEARNER,alumno2,,NOT_SPECIFIED,"ARTE CCCCCC - LINCE - MA?ANA - 1ero - A,CIENCIA, TECNOLOG?A Y AMBIENTE - LINCE - MA?ANA - 1ero - A,MATEM?TICA - LINCE - MA?ANA - 1ero - A,COMUNICACI?N XXXXXX - LINCE - MA?ANA - 1ero - A",
0019f937f4353879b03b5704dbb12b70,alumno20,alumno20,alumno20,LEARNER,alumno20,,NOT_SPECIFIED,COURSE 6 - MIRAFLORES - TARDE - 2do - A,
eaf06a59fac6b947951dd91e091f9d81,alumno21,alumno21,alumno21,LEARNER,alumno21,,NOT_SPECIFIED,COURSE 6 - MIRAFLORES - TARDE - 2do - A,
bec062c454b33039065bff86d458a1a7,alumno22,alumno22,alumno22,LEARNER,alumno22,,NOT_SPECIFIED,COURSE 6 - MIRAFLORES - TARDE - 2do - B,
903b6279616735ccdba6c088de7e4e2f,alumno23,alumno23,alumno23,LEARNER,alumno23,,NOT_SPECIFIED,COURSE 6 - MIRAFLORES - TARDE - 2do - B,
cf11af7275da6e53189a29f84c24514c,alumno24,alumno24,alumno24,LEARNER,alumno24,,NOT_SPECIFIED,COURSE 6 - MIRAFLORES - TARDE - 2do - B,
ca47251a49c5c6c49a16c9cd6f4b907e,alumno3,alumno3,alumno3,LEARNER,alumno3,,NOT_SPECIFIED,"ARTE CCCCCC - LINCE - MA?ANA - 1ero - A,CIENCIA, TECNOLOG?A Y AMBIENTE - LINCE - MA?ANA - 1ero - A,MATEM?TICA - LINCE - MA?ANA - 1ero - A,COMUNICACI?N XXXXXX - LINCE - MA?ANA - 1ero - A",
08c5fa0ba4c4ee425d683d75ecdcf5e9,alumno4,alumno4,alumno4,LEARNER,alumno4,,NOT_SPECIFIED,"ARTE CCCCCC - LINCE - MA?ANA - 1ero - A,CIENCIA, TECNOLOG?A Y AMBIENTE - LINCE - MA?ANA - 1ero - A,MATEM?TICA - LINCE - MA?ANA - 1ero - A,COMUNICACI?N XXXXXX - LINCE - MA?ANA - 1ero - A",
ae2aeaa4c02962e97a14653c500fd88b,alumno5,alumno5,alumno5,LEARNER,alumno5,,NOT_SPECIFIED,"ARTE - LINCE - MA?ANA - 1ero - B,CIENCIA, TECNOLOG?A Y AMBIENTE - LINCE - MA?ANA - 1ero - B,MATEM?TICA - LINCE - MA?ANA - 1ero - B,COMUNICACI?N - LINCE - MA?ANA - 1ero - B",
