UUID,USERNAME,PASSWORD,FULL_NAME,USER_TYPE,IDENTIFIER,BIRTH_YEAR,GENDER,ENROLLED_IN,ASSIGNED_TO
,alumno1,alumno1,alumno1,LEARNER,alumno1,,NOT_SPECIFIED,"ARTE CCCCCC - LINCE - MA?ANA - 1ero - A,CIENCIA, TECNOLOG?A Y AMBIENTE - LINCE - MA?ANA - 1ero - A,MATEM?TICA - LINCE - MA?ANA - 1ero - A,COMUNICACI?N XXXXXX - LINCE - MA?ANA - 1ero - A",
,alumno10,alumno10,alumno10,LEARNER,alumno10,,NOT_SPECIFIED,"ARTE - LINCE - MA?ANA - 1ero - C,CIENCIA, TECNOLOG?A Y AMBIENTE - LINCE - MA?ANA - 1ero - C,MATEM?TICA - LINCE - MA?ANA - 1ero - C,COMUNICACI?N - LINCE - MA?ANA - 1ero - C",
4b8c1be77f51df8fffc4d318a09e3822,alumno11,alumno11,alumno11,LEARNER,alumno11,,NOT_SPECIFIED,"ARTE - LINCE - MA?ANA - 1ero - C,CIENCIA, TECNOLOG?A Y AMBIENTE - LINCE - MA?ANA - 1ero - C,MATEM?TICA - LINCE - MA?ANA - 1ero - C,COMUNICACI?N - LINCE - MA?ANA - 1ero - C",
2f5dd309c10d35d19b09f79a5465f42b,alumno12,alumno12,alumno12,LEARNER,alumno12,,NOT_SPECIFIED,"ARTE - LINCE - MA?ANA - 1ero - C,CIENCIA, TECNOLOG?A Y AMBIENTE - LINCE - MA?ANA - 1ero - C,MATEM?TICA - LINCE - MA?ANA - 1ero - C,COMUNICACI?N - LINCE - MA?ANA - 1ero - C",
e748ee938cdc5cc28fbb5b001a4ec146,alumno13,alumno13,alumno13,LEARNER,alumno13,,NOT_SPECIFIED,COURSE 3 - MIRAFLORES - MA?ANA - 2do - A,
81d74bddcb5d042366e531abdd4cdd4f,alumno14,alumno14,alumno14,LEARNER,alumno14,,NOT_SPECIFIED,COURSE 3 - MIRAFLORES - MA?ANA - 2do - A,
3c6f74a1ef89f9540738e1d905ccac3d,alumno15,alumno15,alumno15,LEARNER,alumno15,,NOT_SPECIFIED,COURSE 3 - MIRAFLORES - MA?ANA - 2do - A,
7683f71fa170e6daeb8796459dc8e7de,alumno16,alumno16,alumno16,LEARNER,alumno16,,NOT_SPECIFIED,COURSE 3 - MIRAFLORES - MA?ANA - 2do - B,
1b6628fb766f83780f11469a59f5efd4,alumno17,alumno17,alumno17,LEARNER,alumno17,,NOT_SPECIFIED,COURSE 3 - MIRAFLORES - MA?ANA - 2do - B,
db6810ae353ea3b7e59cd4ae18613435,alumno18,alumno18,alumno18,LEARNER,alumno18,,NOT_SPECIFIED,COURSE 3 - MIRAFLORES - MA?ANA - 2do - B,
